DEPARTAMENTO,MUNICIPIO,DISTRITO,ESTABLECIMIENTO,ESTABLECIMIENTO_NORM,DIRECCION,DIRECCION_NORM,TELEFONO,TELEFONO_ESTD,TELEFONOS_LIST,CODIGO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,PORCENTAJE_FALTANTE,CLAVE_BLOQUEO
JUTIAPA,AGUA BLANCA,22-012,INSTITUTO DIVERSIFICADO POR COOPERATIVA,DIVERSIFICADO,AGUA BLANCA,AGUA BLANCA,49494159,49494159,49494159,22-04-2085-46,YELBELY ROXANA VEGA DONADO,YESLIN MARÍA ESPINO MÉNDEZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,0.0,AGUA BLANCA|DIVERSIFICADO|AGUA BLANCA
JUTIAPA,AGUA BLANCA,22-011,LICEO JUAN PABLO II,JUAN PABLO II,BARRIO EL CENTRO,BARRIO EL CENTRO,47399729,47399729,"47399729,78683457",22-04-0047-46,YELBELY ROXANA VEGA DONADO,CARLOS OSMIN ORELLANA VICENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA|SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),JUTIAPA,0.0,AGUA BLANCA|JUAN PABLO II|BARRIO EL CE
JUTIAPA,AGUA BLANCA,22-012,COLEGIO PARTICULAR MIXTO  AGUABLANQUENSE,PARTICULAR AGUABLANQUENSE,AGUA BLANCA,AGUA BLANCA,78683296,78683296,78683296,22-04-2086-46,YELBELY ROXANA VEGA DONADO,JAVIER DE JESÚS LEMUS ALARCÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,0.0,AGUA BLANCA|PARTICULAR AGUAB|AGUA BLANCA
JUTIAPA,AGUA BLANCA,22-012,COLEGIO PARTICULAR MIXTO AGUABLANQUENSE,PARTICULAR AGUABLANQUENSE,BARRIO LAS CASITAS,BARRIO LAS CASITAS,56250674,56250674,56250674,22-04-0030-46,YELBELY ROXANA VEGA DONADO,DONALD WILFREDO AGUIRRE GUERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA,0.0,AGUA BLANCA|PARTICULAR AGUAB|BARRIO LAS C
HUEHUETENANGO,AGUACATAN,13-049,"COLEGIO PRIVADO ""EL NUEVO MILLENIUM""","""EL NUEVO MILLENIUM""","3A. AVENIDA 3-01, ZONA 1",3A AVENIDA 3 01 ZONA 1,77568072,77568072,77568072,13-27-0068-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,MARTIN ELEONOR DE LEÓN VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,"AGUACATAN|""EL NUEVO MILLEN|3A AVENIDA 3"
HUEHUETENANGO,AGUACATAN,13-049,"INSTITUTO PRIVADO AGUACATECO ""CAMINO AL PROGRESO""","AGUACATECO ""CAMINO AL PROGRESO""",2A. AV. 2-31 ZONA 3,2A AVENIDA 2 31 ZONA 3,30911951,30911951,30911951,13-27-0052-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,ISABEL  BATÉN HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO,0.0,"AGUACATAN|AGUACATECO ""CAMI|2A AVENIDA 2"
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,ALDEA CANTZELA,ALDEA CANTZELA,40102428,40102428,40102428,13-27-0067-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,DEISY HORTENCIA MENDOZA SIMÓN,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|DE EDUCACION DIV|ALDEA CANTZE
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,ALDEA CLIMENTORO,ALDEA CLIMENTORO,50411035,50411035,50411035,13-27-0058-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,JULIO CESAR RODRIGUEZ MENDOZA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|DE EDUCACION DIV|ALDEA CLIMEN
HUEHUETENANGO,AGUACATAN,13-048,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,5A. AVENIDA 6-91 ZONA 1,QUINTA AVENIDA 6 91 ZONA 1,40102428,40102428,40102428,13-27-0076-46,CARLOS VICENTE CARDONA MARTINEZ,DEISY HORTENCIA MENDOZA SIMÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|DE EDUCACION DIV|QUINTA AVENI
HUEHUETENANGO,AGUACATAN,13-060,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,DE EDUCACION EXTRAESCOLAR CEEX,"ALDEA PATZALAM, CASERÍO AGUA BLANCA",ALDEA PATZALAM CASERIO AGUA BLANCA,32514020,32514020,32514020,13-27-0083-46,AROLDO HOSBERI SOSA LÓPEZ,ONELIA ABIGAIL CARDONA HERNÁNDEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|DE EDUCACION EXT|ALDEA PATZAL
HUEHUETENANGO,AGUACATAN,13-060,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,DE EDUCACION EXTRAESCOLAR CEEX,CABECERA MUNICIPAL AGUACATAN,CABECERA MUNICIPAL AGUACATAN,41464223,41464223,41464223,13-27-0079-46,AROLDO HOSBERI SOSA LÓPEZ,GUILLERMO WALDEMAR GARCÍA CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,INTERCALADO,HUEHUETENANGO,0.0,AGUACATAN|DE EDUCACION EXT|CABECERA MUN
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO PRIVADO DE EDUCACION POR MADUREZ IPEM,DE EDUCACION MADUREZ IPEM,2A. AV. 2-31 ZONA 3,2A AVENIDA 2 31 ZONA 3,77660149,77660149,77660149,13-27-6753-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO,5.88235294117647,AGUACATAN|DE EDUCACION MAD|2A AVENIDA 2
HUEHUETENANGO,AGUACATAN,13-049,COLEGIO PRIVADO  EL NUEVO MILLENIUM,EL NUEVO MILLENIUM,3A. AVENIDA 3-01 ZONA 1,3A AVENIDA 3 01 ZONA 1,77568072,77568072,77568072,13-27-7032-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,MARTIN ELEONOR DE LEÓN VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|EL NUEVO MILLENI|3A AVENIDA 3
HUEHUETENANGO,AGUACATAN,13-048,"COLEGIO EVANGÉLICO ""BELÉN""","EVANGELICO ""BELEN""",7A. AVENIDA 3-40 ZONA 1,SÉPTIMA AVENIDA 3 40 ZONA 1,35671620,35671620,35671620,13-27-0082-46,CARLOS VICENTE CARDONA MARTINEZ,WALTER  AILÓN RAYMUNDO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,"AGUACATAN|EVANGELICO ""BELE|SÉPTIMA AVEN"
HUEHUETENANGO,AGUACATAN,25-000,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),GUATEMALTECO DE EDUCACION RADIOFONICA IGER,AGUACATAN,AGUACATAN,,SIN_TELEFONO,,13-27-6189-46,SONIA HAYDEE REYES MONTERROSO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO,11.76470588235294,AGUACATAN|GUATEMALTECO DE |AGUACATAN
HUEHUETENANGO,AGUACATAN,13-048,COLEGIO MIXTO MAYA AGUACATECO,MAYA AGUACATECO,3A. CALLE 7-42 ZONA 1,3A CALLE 7 42 ZONA 1,77660095,77660095,77660095,13-27-0063-46,CARLOS VICENTE CARDONA MARTINEZ,WILLIAM GUSTAVO MENDOZA MEJÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|MAYA AGUACATECO|3A CALLE 7 4
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO MAYANCE AGUACATECO,MAYANCE AGUACATECO,"4A. CALLE 3-35, ZONA 3",4A CALLE 3 35 ZONA 3,77660002,77660002,77660002,13-27-0088-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,MARIANO  RODRÍGUEZ ALCÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),HUEHUETENANGO,0.0,AGUACATAN|MAYANCE AGUACATE|4A CALLE 3 3
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO MAYANCE AGUACATECO,MAYANCE AGUACATECO,4TA CALLE 3-35 ZONA 3,4TA CALLE 3 35 ZONA 3,77660002,77660002,77660002,13-27-0066-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,MARIANO  RODRÍGUEZ ALCÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE|VESPERTINA|MATUTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|MAYANCE AGUACATE|4TA CALLE 3 
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA CLIMENTORO,MUNICIPAL DE EDUCACION DIVERSIFICADA CLIMENTORO,ALDEA CLIMENTORO,ALDEA CLIMENTORO,45351827,45351827,45351827,13-27-0053-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,MANUEL IXCOY GARCIA,DIVERSIFICADO,MUNICIPAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,0.0,AGUACATAN|MUNICIPAL DE EDU|ALDEA CLIMEN
HUEHUETENANGO,AGUACATAN,13-049,INSTITUTO EDUCATIVO TULAN,TULAN,2A. AV. 2-31 ZONA 3,2A AVENIDA 2 31 ZONA 3,7660201-7660149,02017660,02017660,13-27-6427-46,ILIANA ARGENTINA VILLATORO FUNES DE AGUSTIN,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,DOBLE,DOMINICAL,HUEHUETENANGO,5.88235294117647,AGUACATAN|TULAN|2A AVENIDA 2
QUETZALTENANGO,ALMOLONGA,,COLEGIO PRIVADO MIXTO AMERICA,AMERICA,3A. AVENIDA NO. 1-18 ZONA 4,3A AVENIDA NO 1 18 ZONA 4,,SIN_TELEFONO,,09-13-3193-46,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,23.52941176470588,ALMOLONGA|AMERICA|3A AVENIDA N
QUETZALTENANGO,ALMOLONGA,09-023,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,CENTRO DE ALMOLONGA,CENTRO DE ALMOLONGA,,SIN_TELEFONO,,09-13-0006-46,MANUEL DE JESUS SOTO,-,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,5.88235294117647,ALMOLONGA|DE EDUCACION DIV|CENTRO DE AL
SACATEPEQUEZ,ALOTENANGO,03-007,COLEGIO MIXTO  ALOTENANGO,ALOTENANGO,"CALLE REAL, PRIMER CANTON",CALLE REAL PRIMER CANTON,,SIN_TELEFONO,,03-14-0843-46,MARLIS BERZABE REYES REYES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,11.76470588235294,ALOTENANGO|ALOTENANGO|CALLE REAL P
SACATEPEQUEZ,ALOTENANGO,03-008,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,DE EDUCACION DIVERSIFICADA,CUARTO CANTON,CUARTO CANTON,78306274,78306274,78306274,03-14-0006-46,OSCAR YOVANY ZELADA CASTILLO,MARÍA ELIZABETH PAMAL VÁSQUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ALOTENANGO|DE EDUCACION DIV|CUARTO CANTO
SACATEPEQUEZ,ALOTENANGO,03-016,CENTRO DE EDUCACION EXTRAESCOLAR MUNICIPAL SAN JUAN ALOTENANGO,DE EDUCACION EXTRAESCOLAR MUNICIPAL SAN JUAN ALOTENANGO,0 CALLE C 0-74 ZONA 1. EDIFICIO EL CALVARIO,0 CALLE C 0 74 ZONA 1 EDIFICIO EL CALVARIO,58660376,58660376,58660376,03-14-0029-46,OSCAR OSWALDO SON CAMEZ,JOSÉ DAMIÁN MELGAR PERENCEN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,0.0,ALOTENANGO|DE EDUCACION EXT|0 CALLE C 0 
SACATEPEQUEZ,ALOTENANGO,03-007,CENTRO EDUCATIVO MIXTO LICEO DEL VALLE,DEL VALLE,6A. CALLE 4-90 ZONA 1,6A CALLE 4 90 ZONA 1,43521,SIN_TELEFONO,,03-14-0034-46,MARLIS BERZABE REYES REYES,DINA RAQUEL CONTRERAS PIO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,0.0,ALOTENANGO|DEL VALLE|6A CALLE 4 9
SACATEPEQUEZ,ALOTENANGO,03-008,LICEO EVANGELICO INDISPENSABLE,EVANGELICO INDISPENSABLE,PRIMER CANTON,PRIMER CANTON,51568121,51568121,51568121,03-14-0033-46,OSCAR YOVANY ZELADA CASTILLO,SARA NOEMÍ SIQUINAJAY OJOT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ALOTENANGO|EVANGELICO INDIS|PRIMER CANTO
SACATEPEQUEZ,ALOTENANGO,03-008,COLEGIO PARTICULAR ALPHA Y OMEGA,PARTICULAR ALPHA Y OMEGA,2NDO. CANTON CALLE REAL,2NDO CANTON CALLE REAL,78306427,78306427,78306427,03-14-0028-46,OSCAR YOVANY ZELADA CASTILLO,JOSÉ DAMIÁN MELGAR PERENCEN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,0.0,ALOTENANGO|PARTICULAR ALPHA|2NDO CANTON 
SACATEPEQUEZ,ALOTENANGO,03-008,COLEGIO PARTICULAR  ALPHA Y OMEGA,PARTICULAR ALPHA Y OMEGA,CANTON PRIMERO,CANTON PRIMERO,78306427,78306427,78306427,03-14-1167-46,OSCAR YOVANY ZELADA CASTILLO,JOSÉ DAMIÁN MELGAR PERENCEN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ALOTENANGO|PARTICULAR ALPHA|CANTON PRIME
SACATEPEQUEZ,ALOTENANGO,03-007,COLEGIO SAN JUAN ALOTENANGO,SAN JUAN ALOTENANGO,2DO. CANTON,2DO CANTON,78340915,78340915,78340915,03-14-1226-46,MARLIS BERZABE REYES REYES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ALOTENANGO|SAN JUAN ALOTENA|2DO CANTON
GUATEMALA,AMATITLAN,01-629,"COLEGIO ""FORMACION INTEGRAL DE AMATITLAN""","""FORMACION INTEGRAL DE AMATITLAN""","2A. AVENIDA, 8-28, CANTON SAN ANTONIO",2A AVENIDA 8 28 CANTON SAN ANTONIO,66332950,66332950,66332950,01-14-0025-46,JORGE ALFONSO REYES DE PAZ,CLAUDIA ROSELIA CIFUENTES ALAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,0.0,"AMATITLAN|""FORMACION INTEG|2A AVENIDA 8"
GUATEMALA,AMATITLAN,01-201,COLEGIO MIXTO 'CIENCIAS COMERCIALES','CIENCIAS COMERCIALES',"LOTE I, VALLE VERDE II",LOTE I VALLE VERDE II,66333291,66333291,66333291,01-14-2694-46,GLADYS JHOANA SALGUERO CARBALLO,JORGE ANTONIO ZIMERI AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,0.0,AMATITLAN|'CIENCIAS COMERC|LOTE I VALLE
GUATEMALA,AMATITLAN,01-203,COLEGIO MIXTO 'CULTURA','CULTURA',4A. AVE. 5-34,4A AVE 5 34,66331272,66331272,66331272,01-14-4006-46,ANGELA PATRICIA PU GRIJALVA,IRIS MARICLÓ MORALES LUNA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,0.0,AMATITLAN|'CULTURA'|4A AVE 5 34
GUATEMALA,AMATITLAN,01-411,COLEGIO 'MEDALLA MILAGROSA','MEDALLA MILAGROSA',8A. CALLE 4-20,8A CALLE 4 20,66335468,66335468,66335468,01-14-9005-46,JUAN ENRIQUE MARTINEZ SOLANO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,5.88235294117647,AMATITLAN|'MEDALLA MILAGRO|8A CALLE 4 2
GUATEMALA,AMATITLAN,,COLEGIO MIXTO 'MODERNO','MODERNO',2A. AVENIDA Y 2A CALLE 1-46,2A AVENIDA Y 2A CALLE 1 46,,SIN_TELEFONO,,01-14-6185-46,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23.52941176470588,AMATITLAN|'MODERNO'|2A AVENIDA Y
GUATEMALA,AMATITLAN,01-411,LICEO MIXTO AMATITLANECO,AMATITLANECO,"5A. CALLE, 3-73, BARRIO LA CRUZ",QUINTA CALLE 3 73 BARRIO LA CRUZ,66335043,66335043,66335043,01-14-0082-46,JUAN ENRIQUE MARTINEZ SOLANO,LILIAN ROSARIO QUEZADA FERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,0.0,AMATITLAN|AMATITLANECO|QUINTA CALLE
GUATEMALA,AMATITLAN,01-201,LICEO MIXTO AMATITLANECO,AMATITLANECO,7A. CALLE 12-66 BARRIO HOSPITAL,SÉPTIMA CALLE 12 66 BARRIO HOSPITAL,59454001,59454001,59454001,01-14-0076-46,GLADYS JHOANA SALGUERO CARBALLO,ALICIA AGRIPINA PACHECO GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,0.0,AMATITLAN|AMATITLANECO|SÉPTIMA CALL
GUATEMALA,AMATITLAN,01-201,LICEO APLICADO EN COMPUTACION DE AMATITLAN,APLICADO EN COMPUTACION DE AMATITLAN,5TA. AVENIDA 6-86,QUINTA AVENIDA 6 86,66334588,66334588,"66334588,66764347",01-14-0078-46,GLADYS JHOANA SALGUERO CARBALLO,SERGIO  DE LOS RÍOS DOMÍNGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|MATUTINA|SIN JORNADA,FIN DE SEMANA,GUATEMALA SUR,0.0,AMATITLAN|APLICADO EN COMP|QUINTA AVENI
